"﻿""headline""","summary","submitDate","rating","source","upvote","downvote","deploymentArchitecture","partnerReview","submitTimestamp","user_id","user_title","user_industry","user_companySize","user_function","lessonslearned-like-most","lessonslearned-dislike-most","evaluation-contracting","why-purchase-s24","factors-drove-decision-s24","vendors-considered","integration-deployment","service-support","product-capabilities","deployment-architecture-s24","deployment-country-multi","reviewId"
"It has simplified my work to a great extent","My experience has been very wonderful. It has simplified my work to a great extent. I would recommend this tool for all automation purposes.","2019/2/26","5","Referred (colleague, friend, peer)","0","0","","FALSE",1551114000000,"111286400","Assistant System Engineer","IT Services","30B + USD","Research and Development","Katalon Studio is a free and robust automation solution for API, Web and Mobile testing. It integrates all necessary components with built-in keywords and project templates into a complete automation framework. Katalon Studio is easy-to-use for new users but still offers advanced capabilities for experienced users. ","I would recommend this tool for all automation purposes. ","","","","","","5","5","","",735476
"automation made easy with katalon","i have worked in this tool.it is awsome automation tool.it is easy to use thanks for giving us this wonderful tool ","2019/2/25","5","Referred (colleague, friend, peer)","0","0","","FALSE",1551027600000,"111266930","software engineer","Services (non-Government)","<50M USD","Software Development","product and service both are awsome it has a good support team they have helped me when i was facing issue in creating test cases","no such dislike all thing works good","","","","","","5","5","","",734082
"Cross browser testing","We can integrate with git, Jira and we can do cross browser testing
It cannot automate desktop applications and supports only two languages (java and groovy)","2019/2/25","5","Referred (colleague, friend, peer)","0","0","","FALSE",1551027600000,"111266750","Assistant System Engineer","Services (non-Government)","<50M USD","Other","Cross browser Testing ","Supports only languages like java and Groovy","","","","","","5","5","","",734068
"Praise","A very good and handy and trustworthy studio to use and is very easy to be of use. It was a great experience while working with Katalon.","2019/2/25","3","Referred (colleague, friend, peer)","0","0","","FALSE",1551027600000,"111265220","ASE","Services (non-Government)","<50M USD","Other","Its tendency to work with diverse people.","not able to work on certain platforms as fluently as it should.","","","","","","NaN","4","","",734002
"The best automation app for beginners","Wow what I can I say, this is a really great application, framework, that I have enjoyed a lot. It helps me a lot on my process of automated an application framework without any experiences of automation test a lot. For me this is a really great app and is the best out there, comparing with others frameworks like robot, selenium appium etc.","2019/2/22","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1550768400000,"111077050","Consultant","IT Services","<50M USD","Management / Business Consulting","That is very easy to use, it has a lot of cross browsers integration with Jira and other stuff I need for my project. all in the company are very happy because is really easy to use and really efficient.","mmm is hard because I have love it all, maybe the report section and there are some function that you need to code, but is a great app","","","","","4","","5","On-premises","",715807
"I loved Katalon","Very satisfy with UI, and API automation test using katalon.
With Katalon, I no longer need to maintain in house a buggy automation tool, what I need to do now is focus on develop the automation test case without spend other effort to upgrade in house automation tool.
1 problem I encounter with Katalon is performance issue when it work with excel file. ","2019/2/22","5","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1550768400000,"111069430","Senior Software Test Engineer","IT Services","<50M USD","Research and Development","Starting kits and video tutorial, easy to learn.","slow performance when work with excel file","3","Drive innovation, Reduce time to market, Improve business process outcomes","Overall cost","","5","","5","On-premises","",714938
"Katalon Tool and Support","Katalon Studio is very good for the starters. I appreciate the architecture design and it is pretty user friendly in terms of understanding to tool options. And more over the forum support is pretty handy in resolving the issues. I would continue to use this tool and build my suite in a way so that it can be integrated with a test management tool.

","2019/2/21","4","Referred (colleague, friend, peer)","0","0","Don't know","FALSE",1550682000000,"111233510","Testing","Finance (non-banking)","1B - 3B USD","Other","I liked the Forum support and the product by itself","I did not like one thing in Katalon Studio is it does not support the linking of Test Management Tool. ","","","","","4","4","4","Don't know","",730944
"Implementation is easy and simple. User friendly interface.","Pros:

very good forum support
easy to use
good scalability
good technical support
good support documents
 flexibility

cons:

Very frequent updates disrupts a bit
The updates are not applied automatically
Needs to be extended to desktop application as well
","2019/2/21","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1550682000000,"111231950","Test Analyst","Finance (non-banking)","250M - 500M USD","Other","User friendly
the results can be linked to Microsoft TFS
The very friendly forum support","very frequent updates(the updates should not disrupt the user. they should be auto updated not requiring manual intervention)Every time there is a update(which is every few  weeks) we have to manually download it and use","","","","","4","","4","On-premises","",730881
"Free Automation tool with build in features","Katalon Studio is open source tool, easy to download and set up. It supports major OS like Windows, Linux & Mac. Scripts build based on one OS (Mac) can be used in another OS (Windows). It supports various programming languages to create and execute Tests. It supports most of the browsers (Chrome, Safari, IE etc...) It is the one of the best Automation tool which can be used with any cross platform. 
Easy to record and play.
Easy to capture object and build test and test suites.","2019/2/21","4","Invited by Gartner (email, event, account rep)","0","0","","FALSE",1550682000000,"111090460","Analyst","Banking","250M - 500M USD","Other","1- Free open Source
2- Supports windows and Mac
3- Easy to Run test
4- Easy to build test scripts with less programming skills","I don't know how it works for desktop app's
Hard to connect to other tools (silk) for test results
 ","","","","","","5","5","","",716480
"Katalon Studio is the best automated testing platform for Web, API, and Mobile.","We can easily automate Web and Mobile Apps, and also Web APIs.
Katalon Studio allows us to code to achieve complex functionality using Script Mode.
We can create, manage and use test data with ease.
Katalon Studio facilitates test writing by using custom keywords.
Object spying and recording tools are the main features that increase the efficiency of test automation.
Integrated with JIRA; Katalon Studio allows bugs, test logs and test results to be sent to the relevant system.","2019/2/21","5","Invited by Vendor (direct, user community)","0","0","","FALSE",1550682000000,"111067430","Software Quality and Test Specialist","IT Services","<50M USD","Research and Development","Supporting development facilities such as debugging, writing in script mode etc...","Nothing.","","","","","","","5","","",714901
"With easy install to userfriendly automation","I have used Katalon for automation development. It have been great tool with great interfaces. I have also used Robot Framework and UiPath and I think Katalon could beat both.","2019/2/21","4","Invited by Vendor (direct, user community)","1","0","","FALSE",1550682000000,"111067890","Automation developer","IT Services","<50M USD","Management / Business Consulting","Nice dashboard and ui","Auto capture doesn't take everything I would need.","","","","","","NaN","4","","",715075
"Its Awesome now  and will be remarkable if mentioned changes done","Things went well:

Manual mode view for manual testers
Script view for programming expertise
Screenshots and Video capturing feature for failed test cases.
Reports Summary (HTML, CSV, PDF)
Re-Run Failed Test Cases
Execution History with Pictorial Representation
Email Configuration
Cross Browser Testing
Parallel Execution/Sequential Execution
Integration with JIRA
Integration with Jenkins

Things not went well:
Unable to import selenium testcases (i.e. test.side testcases)
Unable to extract xpath for individual object (i.e. need to run recorder from end to end to get complete x paths of individual objects i.e. if we miss any object while recording script)
when we record testcases from the page where we already written some code is replaced with recorded script (i lost my complete code while recording for one object)
Takes too much time while opening the dialog box while execution only
Unable to create bugs for Failed cases in JIRA( this is working for Passed cases which is useless)","2019/2/21","5","Invited by Gartner (email, event, account rep)","0","0","","FALSE",1550682000000,"111067320","Senior QA Automation engineer","Retail","250M - 500M USD","Other","Screenshots and Video capturing feature for failed test cases.
Reports Summary (HTML, CSV, PDF)
Re-Run Failed TestCases
Execution History with Pictorical Representation
Email Configuration","Creating bugs for Passed cases In JIRA (linked with JIRA)
","","","","","","","4","","",714849
"this tool is very useful not only for testing but also for automatical workflow. ","this tool is very useful not only for testing but also for automatical workflow. I really like it.
there are several feature I really like:
1. support groovy
2. support Jira integration
3. data management and support data export and import
4. cucumber support
5. support selenium","2019/2/20","5","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1550595600000,"111070800","Java Developer","IT Services","<50M USD","Research and Development","Data management","no Linux UI version","","","","","5","4","5","On-premises","",715212
"Katalon made life easy on selenium","Katalon has drastically reduced my scripting time and made my automation work easily. It also helped me to convert Asp.Net selenium scripts to Java based selenium scripts.","2019/2/20","4","Invited by Gartner (email, event, account rep)","0","0","Hybrid Cloud and On-premises","FALSE",1550595600000,"111110380","QA Test Lead","Hardware","<50M USD","Other","User Friendly","Generating test results are not up to the standards","4","Drive innovation, Cost management","Overall cost","","4","4","4","Hybrid Cloud and On-premises","",718343
"Great product - would definately recommend ","I have only been using Katalon Studio for the past 2-3 weeks but i have to say that im extremely impressed so far. I have used other automation tools in the best, but for free, Katalon is an incredible tool. The community aspect to the product is so helpful, within a few hours any issue that i come across will be resolved by one of the developers at Katalon or another avid user of katalon. Im excited for the new store to be realeased as im looking forward to a Bamboo plugin so we can have continous intergration. The set up was pretty straighforward and the web recorder is easy to use. Overall, nothing bad to say from my experience so far. There are a few little bugs but there are plenty of workarounds that ive read about on the community site while waiting for them to be fixed. ","2019/2/20","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1550595600000,"111096440","Software developer","Telecommunication","<50M USD","IT","The community - such a helpful bunch and can have any problem solved within hours (or at least a few steps closer to being fixed)","At the minute - nothing, we are attempting to upgrade our software we produce so it will be interesting to see how the test scripts deal with the new site.","","","","","4","","5","Cloud (SaaS or PaaS or IaaS)","",716979
"Free tool, serves the automation needs for the applications used to my workplace","I started using Katalon Studio a year ago and it serves the automation needs for the applications I use at my workplace. It’s free of cost which is a huge bonus, easy to automate and user friendly.
To start with it’s very simple to create a record and playback script which can be edited using a manual and script mode with lots of inbuilt keywords to perform validations. My basic knowledge on Java enabled me to create new custom keywords and methods in Katalon library. I could efficiently use the Built in reports to consolidate the test results. Data driven testing support helped to cover all possible test scenarios. 
I managed to use the Integrations with JIRA which worked perfectly fine and saved a lot of time for documenting test evidences and integration with GIT served the script version control.
Joining the Katalon Community was very helpful to get online support and obtain solutions to my queries using this forum. The community is open to suggestions and they do consider the required improvements to incorporate in the future versions they release.  
I would suggest every user with minimum coding experience give it a try as you do not have to pay any cost and no limited using time.
","2019/2/20","5","Invited by Gartner (email, event, account rep)","0","0","","FALSE",1550595600000,"111095700","TEST ANALYST","Manufacturing","3B - 10B USD","Other","It’s free of cost which is a huge bonus, easy to automate and user friendly. Online katalon community support helpful to  obtain solutions to my queries using this forum.","Every automation tool has some drawbacks, but I managed to find workarounds for each stoppers. Since Katalon studio is a tool that is still developing, I expect it will be more powerful in near future, supporting more functions and needs of the user.","","","","","","NaN","4","","",717073
"Works effectively without much frustration. ","Great software that met my needs. Although limited by some restrictions, there are usually workarounds available. 
","2019/2/19","5","Other ","0","0","","FALSE",1550509200000,"111067670","Software Engineer","Education","<50M USD","Software Development","How it simulates a real person's movements as much as possible.","Editing parent directories names takes a million years.","","","","","","","5","","",715025
"easy to use and feature rich","We started using Katalon for automated testings about a year ago. When we evaluated automated tools in the market, Katalon impressed us with its ease of use and broad set of features. Our other  team members were able to pick up and contribute to writing tests as well.","2019/2/19","5","Invited by Vendor (direct, user community)","0","0","","FALSE",1550509200000,"111080670","Full Stack Developer","Energy and Utilities","<50M USD","Research and Development","Great user interface, lots of features. Robust.","Not any.","4","Improve business process agility, Create internal/operational efficiencies, Reduce time to market","Strong user community, Strong services expertise, Breadth of services, Overall cost, Product functionality and performance","","","","5","","",715963
"It does half the work for me!","This tool is very easy to use; I love that I can write my own code for pieces that I need for something specific, but that it's also so easy to just instantly add the little things that are more generally needed for web browser tests. It does half the work for me with a very user-friendly UI, without slowing me down on the work I'd like to do for myself.","2019/2/19","5","Invited by Vendor (direct, user community)","0","0","Don't know","FALSE",1550509200000,"111076810","Software QA Engineer","Services (non-Government)","<50M USD","Other","I like that I can easily tab between the manual mode and the scripting mode as I build out my tests","I dislike that it was difficult to figure out how to set up and use my own methods/keywords","NaN","Reduce time to market, Cost management","Product functionality and performance, Overall cost","","3","","4","Don't know","",715767
"Installation is easier than any other automation tool.","I have been using Katalon Studio for one of my e-commerce project. Its easy to use. Installation is easier than any other automation tool. Its build on top of eclipse is an added advantage to write the code. Happy katalon :) 
","2019/2/19","4","Referred (colleague, friend, peer)","0","0","","FALSE",1550509200000,"111069070","Software Test engineer","IT Services","500M - 1B USD","Other","I like the product more than services","Nothing yaar ","","","","","","4","4","","",714883
"Great testing app","Great testing app once you've dug into it and understand the process. A great way to get in to testing with a huge amount of options. ","2019/2/19","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1550509200000,"111068480","Senior Web Designer and Developer","Media","50M - 250M USD","Research and Development","The flexibility that it gives you","Can be a little overwhelming","","","","","3","","4","On-premises","",714851
"Katalon studio","It is great tool for automation testing. Easy to monitor defects and no performance issue was there. I highly recommend this tool to all the automation testers. Totally satisfied.","2019/2/19","5","Referred (colleague, friend, peer)","0","0","","FALSE",1550509200000,"111162460","System Engineer","Services (non-Government)","<50M USD","Other","Katalon Spy Web.","None.","","","","","","","5","","",724508
"Good documentation, lot of possibilities","While not per se very intuitive on its own, it has extensive documentation and a lot of videos on its own site explaining how to get started. There are a lot of possibilities to get automation of testing started","2019/2/19","4","Invited by Vendor (direct, user community)","0","0","","FALSE",1550509200000,"111068610","QA Tester","Energy and Utilities","<50M USD","Research and Development","Lot of possibilities","Would be nice if there were transcripts of the videos, I'm personally more of a learner by text than by videos","","","","","","","4","","",714865
"Good product but still need some extra features","Great tool: Free!! A lot of functionalities and good active community. 
The product continues to evolve.","2019/2/18","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1550422800000,"111068640","Test Manager","IT Services","<50M USD","Software Development","It can record actions in the browser and detect pretty well the objects in it. It's free.","- It is difficult to detect Extjs objects (Sencha application) but nevertheless it's better than other automation tools
- It's not possible to attach a data file to a test case, we are force to use a suite. A consequence is that we have to create a lot of suite and test case to decople the solution
-The icons are all very similar in the tool.","","","","","4","","4","On-premises","",714868
"Great tool for startups exploring test automation world","Great tool for start-ups exploring automation world. Easy to learn, easy to automate with CI/CD and easy to use.","2019/2/18","5","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1550422800000,"111150010","Applications","Retail","<50M USD","Software Development","Even tho cross-platform integration is the biggest problem, it is at the same time the best. Especially headless mode.","Support for cross-platforms could be better, as well - backwards compatibility of software versions.","","","","","4","","5","On-premises","",723309
"Katalon Studio is a good and easy to use automation testing  tool with minimal programming","Katalon Studio is a good and easy to use automation testing  tool with minimal programming knowledge. Very good for RPA process. Hope it can be convertible with python code.","2019/2/18","4","Invited by Vendor (direct, user community)","0","0","","FALSE",1550422800000,"111070150","Engineer","Services (non-Government)","<50M USD","Other","very easy to use to write or even recording a testing program with minimal programming knowledge.","not convertible to python","","","","","","","3","","",715054
"Application","Katalon studio provides a dual interchangeable interface for scripting, a recording tabular editor for the less technical users and scripting IDE geared toward experienced testers to author automation tests with syntax highlight and intelligent code completion
","2019/2/18","5","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1550422800000,"111144470","Developer","IT Services","10B - 30B USD","IT Services","Cross platform access
","None","","","","","5","","5","Cloud (SaaS or PaaS or IaaS)","",722564
"Effort less testing","With automated testing you can capture your desired test cases by simply navigating your application on browser","2019/2/18","4","Referred (colleague, friend, peer)","0","0","","FALSE",1550422800000,"111145000","System Engineer","Services (non-Government)","<50M USD","Other","It is very easy to use and UI is also very good. Test cases can be captured very easily through web browser.","It is very difficult to access element which comes under some other elements. The nested elements should be managed more efficiently on UI","","","","","","","4","","",722648
"Katalon Studio is really helpful","I used to write and run unit tests manually, but ever since I started using Katalon my efficiency has greatly improved. The whole unit test process is more streamlined and I can have it run automated tests according to my specifications.","2019/2/18","5","Invited by Gartner (email, event, account rep)","0","0","","FALSE",1550422800000,"111145260","Sr. Developer","Services (non-Government)","<50M USD","IT","Easy to Organize and Manage Test Cases for Different Applications and Platforms.","Doesn't have a large community so it relies on the support team","","","","","","5","5","","",722641
"Nice and easy tool to write automatic test cases in groovy language.","A nice and easy tool to write automated test cases in JAVA language. We can also write selenium scripts if you have basic knowledge about selenium. This tool also helps us in dynamically creating test cases for automated testing. Although they can also create plugins to capture date picker objects in writing test cases.","2019/2/18","4","Referred (colleague, friend, peer)","0","0","","FALSE",1550422800000,"111144090","System Engineer","IT Services","10B - 30B USD","Research and Development","Automatically records web application and mobile application for easy UI based approach for automation.","Need to write custom keyword to capture date picker objects in bootstrap/jQuery based datepicker.","","","","","","","4","","",722612
"Very user friendly and easy to learn","It is a comprehensive toolset for web and mobile app automation testing. Quite easy and user friendly. Every one can start his/her career as a Test Automation Engineer. It is quite easy to learn and to build and run test cases.","2019/2/18","5","Referred (colleague, friend, peer)","0","0","","FALSE",1550422800000,"111144030","System Engineer","IT Services","10B - 30B USD","IT Services","Best thing is it is free.
It support JAVA and groovy language.","As of now there is no support for distributed testing. It cannot automate desktop applications unlike some licensed tools like UFT and TestComplete.","","","","","","","5","","",722600
"Use and implementation was easy.","The tool is very easy to use and provide great flexibility in operation. Has a great experience testing the product on the tool","2019/2/18","4","Referred (colleague, friend, peer)","0","0","","FALSE",1550422800000,"111144010","System Engineer","IT Services","10B - 30B USD","Other","Recording the test cases and playing them to correct if required","Was complex initially ","","","","","","","4","","",722611
"User Friendly","It is very innovative tool to deal with,it is also user friendly and effective.It is automated and user supportive. ","2019/2/18","4","Referred (colleague, friend, peer)","0","0","","FALSE",1550422800000,"111144390","Developer","Services (non-Government)","<50M USD","Management / Business Consulting","Being User friendly","Improvement can be made at UI part","","","","","","","5","","",722551
"Simple, intuitive and detailed tool for Agile and Automation","Simple easy and intuitive way to write test cases and easily generate reports of execution. Great tool for teams who are going Agile and automation of their builds and execution","2019/2/17","5","Self directed (Gartner.com, search, ad/promo)","0","0","","FALSE",1550336400000,"111135940","Sr Advisor","Retail","30B + USD","IT","1. Great bifurcation of Objects (Test cases, Test Suites, Objects, Reports)
2. Good integration with Analytics to view execution reports
3. Good recorder for doing Web UI automation testing","Analytics report - Can the reports section be customized to add description about Test Cases and can it be hosted on internal environments","","","","","","5","5","","",721684
"Easy User Interface, but dosent support languages other than java and groovy","Best tool to use for testcase automation for the users who dont have much programming skills.
Easy user interface as compare to writing script in selenium. ","2019/2/16","4","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1550250000000,"110161260","Associate Test Engineer","IT Services","<50M USD","Research and Development","Most liked things about product:
1. Easy UI, so code writing and maintenance gets easy
2. Free of cost








","Most disliked things about product:
1. Does not support ubuntu OS
2. Not supports programming-languages other than java and groovy","","","","","4","","4","On-premises","",720692
"Easy to use, some feature still need to be fixed or added","This is an easy to use free tool! It has it's bugs and features that maybe should be added but it's stay a really good application for Testing!","2019/2/15","4","Invited by Vendor (direct, user community)","0","0","","FALSE",1550163600000,"111116170","Test engineer","Retail","<50M USD","Software Development","It's easy to use and uses the interface of eclipse","No solution for edge driver.
Not possible to swich data files on execution profile","","","","","","","4","","",719122
"Useful, perfect for newly-started Automation Engineers","Great tool for beginners QA Engineers, allowing to record your automation script and translate to a lot of different programming languages. Easy to master and nice to consider in to teaching proposits.","2019/2/14","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1550077200000,"111102280","Software QA Analyst","IT Services","50M - 250M USD","Other","Ease of use, ready to start, open source and trustful. I always use it to teach automation for its intuitiveness.","Missing Javascript script creation (on plugin), more funcionalities (integration with application code, for example). Performance, security assertions would also be great improvement.","","","","","5","","5","On-premises","",717546
"Product very easy to use and learn, always offering improvements and the best: it's fre","This product have been the best choice for quick and comfortable implementing, accomplishing our requirements for testing/QA at the company. I have integrated CI/CD with Jenkins (DevOps) easily. And I love the Katalon Analytics' Dashboard, We can be aware about the state of the deployments at glance. I hope this BETA comes with additional features soon.","2019/2/14","4","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1550077200000,"111099060","Tester","IT Services","<50M USD","Software Development","It's Free, very easy to install and learn
Always deliver new and useful improvements (like Katalon Analytics, BDD Cucumber, Jira Integration) 
Faster than learn and implement Selenium/Protractor, etc.
","Sometimes issues  takes time to be solved.
The templates like JIRA API Test, doesn't work anymore. 
Lack of capacities in API/Web Service Method  (Types of Authorization)","","","","","5","","5","Cloud (SaaS or PaaS or IaaS)","",717476
"Best Free Automation Framework in the Market Yet","What went well:
1. Very Easy Implementation - Katalon fit very well in our ecosystem. We were already using a custom built Keyword driven framework. We just needed a UI on top of our framework to take it one step further. Katalon provided just the same functionality is very well packaged tool with all the bells and whistles.
2. Low Learning Curve - It took us just a couple of weeks to completely master Katalon, as it is very easy to learn. Very straightforward tool, any tester can learn.

What did not go well:
1. Due to early adopters of this tool, we had to work around a lot of issues/bugs in the tool.","2019/2/14","4","Invited by Vendor (direct, user community)","1","0","On-premises","FALSE",1550077200000,"111069140","Manager","Services (non-Government)","<50M USD","Management / Business Consulting","It's free","Stability of functionality between different versions","NaN","Create internal/operational efficiencies, Cost management, Improve business process agility, Drive innovation","Product functionality and performance, Overall cost, Product roadmap and future vision","","4","","4","On-premises","",714924
"It is very easy to develop script development ","* It is a good tool for script development without any framework development.  
* Tools is generating code automatically after adding step in manal
* Need to integrate Test Management tools (HP ALM) 
","2019/2/14","4","Referred (colleague, friend, peer)","0","0","","FALSE",1550077200000,"111099810","Senior Associate","Software","10B - 30B USD","Software Development","It is reducing framework development","NA","","","","","","5","4","","",717407
"Easy start and nearly unlimited possibilities for test automation","Its hard to find the right tool with the balance of ""easy to use"" and ""professional enough"" to fulfill our and customer demands. The entry point was the end of Firefox support from Selenium IDE. After searching for an alternative, we check Katalon (Studio + Web Recorder) against our demands. 
Now, about one year later, we have done a great framework which fulfill every demand from test (automation) perspective. Its easy to expand, enlarge and you can test really everything. 
Starting with complex web applications with dynamic object ids, until interaction on physical files to database checks. 

From my personal perspective, i would like to have a bit more support for test-management tool integration, like Zepyhr or QC/ALM. ","2019/2/14","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1550077200000,"111096780","Head of Quality and Testing, Germany","IT Services","<50M USD","Management / Business Consulting","Easy to install and maintenance ","Integration of more test management tools","NaN","Cost management, Improve business process agility, Improve business process outcomes, Create internal/operational efficiencies","Product functionality and performance, Strong customer focus, Strong user community, Overall cost","","5","","5","On-premises","",717072
"Katalon is user friendly with great support. Highly recommended software","Katalon Studio is a well-documented, user-friendly program. We use it for regression tests, so far with great efficiency. It's worth a try :)","2019/2/14","5","Invited by Gartner (email, event, account rep)","0","0","","FALSE",1550077200000,"111097320","Test Coordinator","IT Services","50M - 250M USD","Other","Web service option for interface testing","I don't have any problem with it.","","","","","","","4","","",717150
"Stop wasting your time with manual testing ","Katalon helped me to automate web testing, because manual testing was a thing, which was slowing down development. Scenarios for regression testing were running smoothly and saved hundreds of hours after deployments.","2019/2/14","4","Invited by Vendor (direct, user community)","0","0","","FALSE",1550077200000,"111069890","Senior Software Consultant","IT Services","250M - 500M USD","Management / Business Consulting","Innovation, I was using many tools for automated web testing, but in here you can clearly see the progress, how Katalon is changing the market. Very good for applications with more 3rd party calls, dynamic waiting for response was helpful, scripting also helped me to check proper testing results.","It was quite complicated to work on a web application without HTML element ids, but it was manageable.","","","","","","","4","","",715010
"Fantastic user experience","Great user experience and rapid setup. We have seen great success with teams where traditional manual testers with low technical skills want to start automation. The framework is simple and supports Soap and Rest APIs as well which gives it an edge over other traditional open source tools like Selenium where you need to stitch support for APIs using RestAssured or Karate DSL.","2019/2/14","5","Invited by Vendor (direct, user community)","0","0","","FALSE",1550077200000,"111094550","Senior Consultant","IT Services","3B - 10B USD","Management / Business Consulting","1. Usability
2. Extensibility 
3. Integrations with tools like QTest","1. Since it is not completely open source (code base is not exposed) - creating Integrations for aspects like virtual service deployment and managing test data is something that is missing","","","","","","","5","","",716819
"The tool was very easy to understand and easy to work with","We tried POC for Katalon studio and it was an awesome experience. The tool was very easy to understand and easy to work with","2019/2/14","4","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1550077200000,"111093750","Technical consultant","IT Services","1B - 3B USD","IT","The tool was very easy to understand and easy to work with that, as every feature is in common english","Nothing much","","","","","4","","4","On-premises","",716849
"Easy installation, easy implementation and extendable through groovy scripts","What worked well:
 - Installation - compared with selenium is so much easy to implement is it is one-time installation; with selenium, you need to get stable third party compiler such as eclipse, and third-party add-ons
 - Script building - easy to implement; very user friendly
- Extendable - you can build groovy scripts to address limitations

What didnt work well:
 - Documentations of best practices esp executing GUI test overnight and scheduled; also how to use it teamwise - how to manage project in team perspective
 - Web Spy is inconsistent and if user is a newbie, it is hard to maintain; so my best practice is to build from scratch and use xpath as objects of today's web applications are more accessible through this property
- Execution - though application under test has so much to do with slow performance; perhaps we can have it still optimized.","2019/2/14","4","Self directed (Gartner.com, search, ad/promo)","0","0","","FALSE",1550077200000,"111069930","Senior QA Tester/Automation","IT Services","<50M USD","IT","Usability, easy implementation and extendability of the product","Documentation and best practices","","","","","","","4","","",715016
"Nice breakdown of testsuites and test cases. Easy to handle","So far Katalon has been an amazing experience, with the facility of dividing your test run in test suite and adding/removing test cases as per your requirement. I am still a beginner in using Katalon but hoping to master it in the future.","2019/2/14","4","Invited by Gartner (email, event, account rep)","0","0","","FALSE",1550077200000,"111071130","QA Lead","Software","<50M USD","Other","the ability to record and convert to code directly within the tool","not a lot of help is out there but still the community is improving with time","","","","","","","4","","",715262
"Almost the best automation tool out there and its free!!","As part of testing translated products in many language  & OS platforms, we have wide variety of automation tests to be run in parallel execution mode, in my exploratory experience with Katalon Studio, I concur and share my learnings below

Pros:
1. It is one of the best automation solution suites in the industry that comes at free of cost - tough completition for liscensed tools in the market
2. Esay to use, less time to learn and simple to deploy especially when used in testing cross-platform compatible applications across hundreds of virtual machines
3.KB articles and support forum is great
4.Supports Mobile Testing to a good extent, which is the need of the future.
5. Parallel execution is a very useful feature for my kind of testing domain where applications needs to be tested in huge number of OS platforms (various locales)
6. The usual features like version control, debugging mode etc. are all good

Cons:
1. Katalon Studio would have been my first & best choice if it has support for testing APIs and microservices (like Postman)
2. Has limited support for IE & Safari, which is supported by many Enterprise applications.   ","2019/2/13","4","Referred (colleague, friend, peer)","0","0","Hybrid Cloud and On-premises","FALSE",1549990800000,"111092350","Product Owner - Tools & Technologies","Services (non-Government)","<50M USD","Research and Development","All necessary features of a complete test automation suite is at free of cost!! As a Product Manager, I Love the business model of Katalon Studio

This is what the future of automation industry should look like - make essentials free of cost & only price tag the features that are unique.","Less support of APIs and microservices ","","","","","4","4","4","Hybrid Cloud and On-premises","",716590
"Easy Implementation, hope more better and light...","Katalon studio make me happy and more easier in testing an application. it can integrate API,functional testing and database in one testing. So incredible !!!. I use katalon studio for 3 years until now and still developing to make powerfull automate testing.  I love katalon studio  forever. if i compare katalon studio with other tools, Katalon is the winner.  I proud take a part in katalon studio..

thank you katalon studio. I love you and always make me smile to testing cruel system to be more easy.","2019/2/13","5","Invited by Vendor (direct, user community)","0","0","","FALSE",1549990800000,"111090870","Quality Assurance","Banking","500M - 1B USD","Research and Development","Template is easy and very maintable test case. We also can modified and make micro service method.","sometimes its to heavy and need more RAM . I hope next update will be lighter, so RAM requirement will decrease.","","","","","","","5","","",716531
"Easy to Set up with some limitations","It a very easy to set up and use tool with some limitations. My biggest issue with this is its limitation to automate Android 8 and iOS 12 platforms.","2019/2/13","3","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1549990800000,"111069910","Senior/Lead QA Specialist","IT Services","250M - 500M USD","IT","Easy set up and creation of test cases/suites and integration with git.","Android 8 and iOS 12 limitations","3","Create internal/operational efficiencies, Enhance decision making, Reduce time to market, Cost management","Overall cost, Product functionality and performance","","3","","3","On-premises","",715023
"Everything about it was easy - set up, writing and even CI/CD","This is the easiest out of the box automation software I've used.  It's been easy to figure out, quick with updates and a large community of people that are willing to help when you have questions.  It's easy to teach to others and easy to quickly set up and maintain tests.  I would recommend this to anyone with any level of test writing experience, from beginner to seasoned veteran.  Definitely a great product and one I will use for a long time.","2019/2/13","5","Invited by Vendor (direct, user community)","0","0","Don't know","FALSE",1549990800000,"111084400","QA II","Software","250M - 500M USD","IT Services","I love how easy it is to set up and use right away","My least favorite thing is to find that the marketing site says it has a capability, but digging into it, you find that it does not (importing tests from Postman - not an actual capability that I've found)","","","","","5","","5","Don't know","",716240
